account_name,account_name,subcategory_1,subcategory_2,day,value,day_of_week,day_of_case_month,case_month_of_year,case_day_of_year,week_of_year
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/21/2017,23.21719849,1,21,8,233,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/22/2017,23.19418874,2,22,8,234,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/23/2017,23.26797237,3,23,8,235,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/24/2017,23.24425218,4,24,8,236,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/25/2017,23.2508359,5,25,8,237,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/26/2017,23.29618176,6,26,8,238,34
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/27/2017,23.35930345,0,27,8,239,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/28/2017,23.2973532,1,28,8,240,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/29/2017,23.27525481,2,29,8,241,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/30/2017,23.3687381,3,30,8,242,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,8/31/2017,23.53125056,4,31,8,243,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/1/2017,23.49916902,5,1,9,244,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/2/2017,23.63021835,6,2,9,245,35
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/3/2017,23.73653086,0,3,9,246,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/4/2017,23.86347822,1,4,9,247,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/5/2017,23.37818066,2,5,9,248,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/6/2017,23.09912224,3,6,9,249,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/7/2017,23.23970064,4,7,9,250,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/8/2017,23.39479721,5,8,9,251,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/9/2017,23.45121099,6,9,9,252,36
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/10/2017,23.49275489,0,10,9,253,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/11/2017,23.37703653,1,11,9,254,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/12/2017,23.39780087,2,12,9,255,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/13/2017,23.3323039,3,13,9,256,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/14/2017,23.23779872,4,14,9,257,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/15/2017,23.60676518,5,15,9,258,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/16/2017,23.83691302,6,16,9,259,37
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/17/2017,24.0811415,0,17,9,260,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/18/2017,23.82188558,1,18,9,261,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/19/2017,23.70634298,2,19,9,262,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/20/2017,23.59642,3,20,9,263,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/21/2017,23.49866919,4,21,9,264,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/22/2017,23.48671683,5,22,9,265,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/23/2017,23.60033309,6,23,9,266,38
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/24/2017,23.67355677,0,24,9,267,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/25/2017,23.71801647,1,25,9,268,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/26/2017,23.44315198,2,26,9,269,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/27/2017,23.30580418,3,27,9,270,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/28/2017,23.22769922,4,28,9,271,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/29/2017,23.1976725,5,29,9,272,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,9/30/2017,23.27936276,6,30,9,273,39
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/1/2017,23.44169969,0,1,10,274,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/2/2017,23.31037092,1,2,10,275,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/3/2017,23.50086655,2,3,10,276,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/4/2017,23.88695661,3,4,10,277,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/5/2017,23.91604427,4,5,10,278,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/6/2017,23.89633231,5,6,10,279,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/7/2017,23.9259746,6,7,10,280,40
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/8/2017,24.14116659,0,8,10,281,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/9/2017,24.15567423,1,9,10,282,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/10/2017,23.75712027,2,10,10,283,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/11/2017,23.61116059,3,11,10,284,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/12/2017,23.65645858,4,12,10,285,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/13/2017,23.63739269,5,13,10,286,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/14/2017,23.69041921,6,14,10,287,41
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/15/2017,23.86860697,0,15,10,288,42
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/16/2017,23.66549651,1,16,10,289,42
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/17/2017,23.62130539,2,17,10,290,42
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/18/2017,23.6354862,3,18,10,291,42
OURFAVORITE,OURFAVORITEPARTNER,ALL,ALL,10/19/2017,23.71033676,4,19,10,292,42
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/21/2017,15.83375486,1,21,8,233,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/22/2017,15.7196562,2,22,8,234,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/23/2017,15.80873798,3,23,8,235,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/24/2017,15.79664804,4,24,8,236,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/25/2017,15.81608366,5,25,8,237,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/26/2017,15.93912004,6,26,8,238,34
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/27/2017,15.94553528,0,27,8,239,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/28/2017,15.85722778,1,28,8,240,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/29/2017,15.94175832,2,29,8,241,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/30/2017,16.3459596,3,30,8,242,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,8/31/2017,16.36363857,4,31,8,243,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/1/2017,16.27808642,5,1,9,244,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/2/2017,16.34002393,6,2,9,245,35
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/3/2017,16.46488073,0,3,9,246,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/4/2017,16.60890451,1,4,9,247,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/5/2017,16.16042296,2,5,9,248,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/6/2017,15.71317168,3,6,9,249,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/7/2017,15.87579734,4,7,9,250,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/8/2017,16.19512225,5,8,9,251,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/9/2017,16.20193245,6,9,9,252,36
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/10/2017,16.16610422,0,10,9,253,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/11/2017,16.12743015,1,11,9,254,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/12/2017,16.12859854,2,12,9,255,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/13/2017,16.05976693,3,13,9,256,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/14/2017,15.90822841,4,14,9,257,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/15/2017,16.4272801,5,15,9,258,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/16/2017,16.65414651,6,16,9,259,37
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/17/2017,17.01553484,0,17,9,260,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/18/2017,16.65539096,1,18,9,261,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/19/2017,16.46743042,2,19,9,262,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/20/2017,16.3690861,3,20,9,263,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/21/2017,16.27543343,4,21,9,264,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/22/2017,16.25240673,5,22,9,265,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/23/2017,16.37340896,6,23,9,266,38
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/24/2017,16.43353654,0,24,9,267,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/25/2017,16.4429435,1,25,9,268,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/26/2017,16.31281207,2,26,9,269,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/27/2017,16.20651838,3,27,9,270,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/28/2017,16.12609946,4,28,9,271,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/29/2017,16.09075338,5,29,9,272,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,9/30/2017,16.1313747,6,30,9,273,39
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/1/2017,16.27930225,0,1,10,274,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/2/2017,16.19113635,1,2,10,275,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/3/2017,16.13753154,2,3,10,276,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/4/2017,16.58262715,3,4,10,277,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/5/2017,16.6534609,4,5,10,278,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/6/2017,16.59493687,5,6,10,279,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/7/2017,16.69543222,6,7,10,280,40
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/8/2017,16.82128819,0,8,10,281,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/9/2017,16.84566156,1,9,10,282,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/10/2017,16.43508421,2,10,10,283,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/11/2017,16.23636929,3,11,10,284,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/12/2017,16.2310899,4,12,10,285,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/13/2017,16.27073333,5,13,10,286,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/14/2017,16.35250903,6,14,10,287,41
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/15/2017,16.42919422,0,15,10,288,42
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/16/2017,16.21549508,1,16,10,289,42
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/17/2017,16.08115052,2,17,10,290,42
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/18/2017,16.07137856,3,18,10,291,42
OURFAVORITE,OURFAVORITEPARTNER,case_1,one,10/19/2017,16.19231208,4,19,10,292,42
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/21/2017,16.61882997,1,21,8,233,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/22/2017,16.58572544,2,22,8,234,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/23/2017,16.68588486,3,23,8,235,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/24/2017,16.56672301,4,24,8,236,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/25/2017,16.59270521,5,25,8,237,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/26/2017,16.63710597,6,26,8,238,34
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/27/2017,16.68414591,0,27,8,239,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/28/2017,16.63457001,1,28,8,240,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/29/2017,16.67314342,2,29,8,241,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/30/2017,16.9807086,3,30,8,242,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,8/31/2017,16.9685543,4,31,8,243,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/1/2017,16.92565874,5,1,9,244,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/2/2017,17.02438219,6,2,9,245,35
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/3/2017,17.13238927,0,3,9,246,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/4/2017,17.24868737,1,4,9,247,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/5/2017,16.78838698,2,5,9,248,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/6/2017,16.34940219,3,6,9,249,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/7/2017,16.49905171,4,7,9,250,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/8/2017,16.76027813,5,8,9,251,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/9/2017,16.806902,6,9,9,252,36
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/10/2017,16.84131864,0,10,9,253,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/11/2017,16.7538174,1,11,9,254,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/12/2017,16.71542581,2,12,9,255,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/13/2017,16.73730016,3,13,9,256,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/14/2017,16.61167324,4,14,9,257,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/15/2017,17.01324633,5,15,9,258,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/16/2017,17.23078978,6,16,9,259,37
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/17/2017,17.71469495,0,17,9,260,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/18/2017,17.31684718,1,18,9,261,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/19/2017,17.11233769,2,19,9,262,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/20/2017,17.02713927,3,20,9,263,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/21/2017,16.94548956,4,21,9,264,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/22/2017,16.92492846,5,22,9,265,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/23/2017,17.0453864,6,23,9,266,38
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/24/2017,17.13816179,0,24,9,267,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/25/2017,17.15767259,1,25,9,268,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/26/2017,17.00922722,2,26,9,269,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/27/2017,16.78953364,3,27,9,270,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/28/2017,16.71560009,4,28,9,271,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/29/2017,16.64484207,5,29,9,272,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,9/30/2017,16.76496227,6,30,9,273,39
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/1/2017,16.93231858,0,1,10,274,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/2/2017,16.7841236,1,2,10,275,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/3/2017,16.76303077,2,3,10,276,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/4/2017,17.1123275,3,4,10,277,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/5/2017,17.18798025,4,5,10,278,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/6/2017,17.11467773,5,6,10,279,40
OURFAVORITE,OURFAVORITEPARTNER,case_2,one,10/7/2017,17.17833417,6,7,10,280,40
